node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
FI_12,FI2 0 biomass,biomass,242.4311538571823,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 CCGT,fossil_gas,151.7481387061486,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 oil,fossil_other,280.6730785942657,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 nuclear,nuclear,1193.0315764803538,0,11.4,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 solar,solar,4.094237956,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 onwind,wind_on,716.4045308377532,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI_12 ror,ror,248.3547321763661,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_13,FI2 5 biomass,biomass,308.03840631180134,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI2 5 CCGT,fossil_gas,192.81455400472797,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI2 5 coal,fossil_other,356.6294448927861,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI2 5 solar,solar,5.202229643066713,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI2 5 onwind,wind_on,910.2795017995883,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI_13 ror,ror,315.5650364336852,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_14,FI2 8 onwind,wind_on,350.75156253176914,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_14,FI_14 ror,ror,121.59444367437669,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_14,FI_14 hydro,hydro,3.3,0,0,0.46,inflow_NO1,53049.41860465116,10,const,const,0.6,0,0,0,,,,created
FI_14,FI2 8 oil,fossil_other,137.4175017603794,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_14,FI2 8 CCGT,fossil_gas,74.29586842538203,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_14,FI2 8 biomass,biomass,118.69426052114707,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_14,FI2 8 solar,solar,2.004538356,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_2,FI_2 ror,ror,77.88888524291987,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_2,FI2 4 onwind,wind_on,224.67842589890316,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
