node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
FI_3,FI_3 ror,ror,232.6516202,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI_3 solar,solar,3.835365188,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI_3 fossil_gas,fossil_gas,142.1533225,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI_3 wind_on,wind_on,671.1073044,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_3,FI_3 fossil_other,fossil_other,262.9265242,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_3,FI_3 biomass,biomass,227.1025812,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI_4 biomass,biomass,253.5524027,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI_4 fossil_gas,fossil_gas,158.7094091,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI_4 wind_on,wind_on,749.2687604,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI_4 fossil_other,fossil_other,293.5486316,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_4,FI_4 solar,solar,4.282056388,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,created
FI_4,FI_4 hydro,hydro,50.4,0,0,0.46,inflow_NO1,810209.3023,10,hydro,const,0.6,0,0,0,,,,created
FI_4,FI_4 ror,ror,259.7477184,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_5,FI_5 hydro,hydro,6.3,0,0,0.46,inflow_NO1,101276.1628,10,hydro,const,0.6,0,0,0,,,,created
FI_5,FI_5 ror,ror,62.144505,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_5,FI_5 wind_on,wind_on,179.2621568,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_5,FI_5 solar,solar,1.024479739,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_5,FI_5 biomass,biomass,60.662279,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_5,FI_5 fossil_other,fossil_other,70.23135571,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_5,FI_5 fossil_gas,fossil_gas,37.97114266,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_6,FI_6 solar,solar,3.324316015,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI_6 fossil_gas,fossil_gas,123.211883,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_6,FI_6 hydro,hydro,28.5,0,0,0.46,inflow_NO1,458154.0698,10,hydro,const,0.6,0,0,0,,,,created
FI_6,FI_6 wind_on,wind_on,581.6845726,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI_6 fossil_other,fossil_other,227.8924724,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI_6 biomass,biomass,196.8419462,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI_6 ror,ror,201.6515949,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_7,FI_7 fossil_gas,fossil_gas,78.84830815,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_7,FI_7 hydro,hydro,85,0,0,0.46,inflow_NO1,1366424.419,10,hydro,const,0.6,0,0,0,,,,created
FI_7,FI_7 ror,ror,129.0450784,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_7,FI_7 biomass,biomass,125.9671881,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_7,FI_7 fossil_other,fossil_other,145.8376859,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_7,FI_7 solar,solar,2.127365375,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_7,FI_7 wind_on,wind_on,372.2436775,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI_8 biomass,biomass,71.7028617,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI_8 fossil_other,fossil_other,83.01351793,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI_8 wind_on,wind_on,211.888011,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI_8 ror,ror,73.45485401,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_8,FI_8 hydro,hydro,3.4,0,0,0.46,inflow_NO1,54656.97674,10,hydro,const,0.6,0,0,0,,,,created
FI_8,FI_8 solar,solar,1.210935861,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
