const,csp,flexdemand,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30,week 31,week 32,week 33,week 34,week 35,week 36,week 37,week 38,week 39,week 40,week 41,week 42,week 43,week 44,week 45,week 46,week 47,week 48,week 49,week 50,week 51,week 52
1,1.2,3.45,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,1.195555556,3.4,9.960801196,9.95568647,9.962043715,9.9440288,9.941754744,9.957399363,9.949960933,9.94100874,9.937562693,9.938275877,9.938653336,9.936483369,9.929594353,9.934738937,9.923198544,9.926448931,9.924430745,9.911815829,9.913287118,9.905901778,9.905388972,9.905383126,9.909284727,9.909415689,9.908306125,9.90583974,9.906762222,9.904492679,9.90204368,9.901720187,9.903007032,9.904696014,9.906556851,9.909817543,9.909525825,9.906011124,9.910104426,9.912288485,9.919611434,9.921572042,9.92453249,9.923284364,9.922901471,9.930866521,9.930550786,9.93367511,9.947346134,9.939476824,9.944337923,9.947697048,9.943547635,9.935689092
1,1.191111111,3.35,9.911828041,9.901306606,9.91438401,9.877325773,9.872647844,9.904830176,9.889528683,9.871113249,9.864024433,9.865491513,9.866267978,9.861804169,9.847632868,9.858215722,9.834476137,9.841162462,9.837010881,9.811060908,9.814087477,9.798895195,9.797840307,9.797828282,9.805854213,9.806123612,9.803841143,9.798767576,9.800665201,9.795996556,9.790958753,9.7902933,9.792940451,9.796414833,9.800242737,9.80695026,9.806350171,9.799120129,9.807540405,9.812033201,9.827097141,9.831130282,9.837220178,9.834652675,9.833865031,9.850249829,9.849600333,9.856027337,9.884149816,9.867961966,9.877961665,9.884871677,9.876335975,9.860170274
1,1.186666667,3.3,9.851689756,9.835463262,9.855631653,9.798479251,9.791264799,9.840897424,9.81729897,9.788898098,9.777965497,9.780228075,9.781425565,9.774541335,9.752685901,9.769007117,9.732395168,9.742707033,9.736304332,9.696283451,9.700951123,9.677521098,9.675894217,9.675875671,9.688253519,9.688668995,9.685148897,9.67732428,9.680250858,9.673050725,9.665281263,9.66425498,9.668337501,9.673695805,9.67959932,9.689943878,9.689018401,9.677867998,9.690854018,9.697782953,9.721015043,9.727235083,9.736627116,9.732667431,9.731452701,9.756721861,9.755720189,9.765632121,9.80900351,9.784038087,9.799459945,9.810116786,9.796952753,9.77202149
1,1.182222222,3.25,9.778895612,9.756661088,9.784297036,9.70598336,9.696097682,9.764107305,9.731771278,9.692854684,9.677874175,9.680974496,9.682615369,9.673182181,9.643234543,9.665598861,9.615430955,9.629560896,9.620787527,9.565948496,9.572344423,9.540239185,9.538009934,9.537984522,9.554945397,9.555514709,9.550691257,9.539969493,9.543979668,9.53411361,9.523467424,9.522061149,9.527655265,9.534997537,9.543086891,9.55726163,9.555993486,9.540714529,9.558508759,9.568003204,9.599837219,9.608360294,9.621229825,9.615804025,9.614139529,9.64876486,9.647392308,9.660974236,9.720404336,9.686195205,9.707327166,9.721929814,9.70389166,9.669729336
1,1.177777778,3.2,9.691879993,9.663332038,9.698815137,9.598264512,9.585571824,9.672892588,9.631374837,9.581407986,9.562173803,9.566154452,9.568261246,9.556149531,9.517698346,9.546412948,9.482000006,9.500142104,9.488877562,9.418467143,9.426679175,9.385457745,9.382595505,9.382562877,9.404339745,9.405070711,9.398877654,9.385111475,9.390260328,9.37759283,9.36392369,9.362118107,9.369300657,9.378727746,9.38911405,9.407313665,9.405685435,9.386068062,9.408914913,9.42110528,9.461978473,9.472921651,9.48944545,9.482479009,9.480341884,9.52479898,9.523036696,9.540475174,9.616780283,9.572857566,9.599989888,9.618738917,9.59557888,9.551716261
1,1.173333333,3.15,9.589042872,9.553876365,9.597585858,9.473723597,9.458088237,9.56565343,9.514510212,9.452959057,9.429265624,9.434169146,9.436764379,9.421844686,9.374478986,9.409850776,9.33050435,9.352852508,9.338976397,9.25224204,9.262357948,9.21157975,9.208053929,9.208013736,9.234839349,9.235739782,9.228110928,9.211153201,9.217495762,9.201891435,9.185053244,9.182829055,9.191676805,9.20328947,9.216083731,9.238502742,9.236497024,9.212331563,9.240475223,9.255491802,9.305841029,9.319321271,9.339675944,9.331094405,9.328461809,9.38322583,9.381054978,9.40253639,9.49653206,9.442426309,9.475848983,9.498944784,9.470415328,9.416383607
1,1.168888889,3.1,9.468809979,9.426723419,9.479034051,9.330798215,9.312086135,9.440817971,9.379610807,9.305947636,9.277591818,9.283460252,9.286566175,9.26871059,9.212024283,9.254356522,9.159396333,9.186142154,9.169535507,9.065733591,9.077840105,9.01706979,9.012850158,9.012802057,9.044906405,9.045984024,9.036853967,9.016559304,9.024149953,9.005475011,8.985323406,8.982661542,8.99325035,9.007148151,9.022460063,9.049290679,9.046890276,9.017969543,9.051651304,9.069622841,9.129879772,9.146012651,9.17037271,9.160102499,9.156951861,9.222492328,9.219894296,9.245602813,9.358094921,9.293342257,9.333341834,9.360982419,9.326838947,9.262174882
1,1.164444444,3.05,9.329716964,9.280416563,9.341693491,9.168049317,9.146129896,9.29692699,9.225228623,9.138939228,9.105723086,9.112597399,9.116235691,9.095319572,9.028916959,9.078505148,8.967268324,8.998598509,8.979145401,8.857551337,8.871732965,8.800546325,8.795603428,8.795547081,8.83315427,8.834416598,8.823721605,8.79994834,8.808840062,8.786964145,8.763358458,8.760240337,8.772644118,8.788924068,8.806860516,8.83829003,8.835478186,8.8016003,8.841055278,8.862107222,8.932692482,8.951590615,8.980126105,8.968095531,8.964404858,9.041179278,9.038135931,9.068251011,9.20002481,9.124173227,9.171028924,9.203407239,9.16341141,9.087663613
1,1.16,3,9.170520991,9.113725664,9.184318258,8.98427571,8.959023975,9.1327461,9.050147739,8.950740141,8.912474292,8.920393677,8.924585083,8.900489177,8.823991661,8.881118528,8.752970851,8.789064028,8.766653549,8.626574064,8.642911664,8.560902826,8.555208482,8.555143569,8.598468016,8.599922251,8.587601345,8.560213932,8.570457424,8.545255806,8.518061448,8.514469293,8.528758768,8.547513689,8.568176937,8.604384544,8.601145228,8.562117033,8.60757018,8.631822561,8.713138593,8.734909727,8.767783345,8.753923814,8.749672065,8.838118167,8.834612154,8.8693055,9.021112299,8.933729328,8.987708295,9.025008944,8.978932723,8.891669315
