Node,NO4_1,NO4_1,NO4_1,NO4_1,NO4_1,NO4_1,NO4_2,NO4_2,NO4_2,NO4_2,NO4_2,NO4_2,NO4_3,NO4_3,NO4_3,NO4_3,NO4_3,NO4_3
Week,Load,biomass,fossil_gas,hydro,ror,wind_on,Load,biomass,fossil_gas,hydro,ror,wind_on,Load,biomass,fossil_gas,hydro,ror,wind_on
27,180683.4673,3657.029924,0,0,58340.73644,5697.393962,56826.23124,1445.580457,0,0,26438.55083,2581.915298,113463.4245,0,0,0,75864.97919,7408.76274
28,175399.2781,450.6388785,0,0,55291.25698,7319.166706,55164.31629,140.0165636,0,0,25062.95272,3368.67763,110145.1231,0,0,0,71917.72343,9666.364087
29,168130.0262,83.89163469,0,0,53868.37773,3152.856816,52878.08504,38.01757371,0,0,24411.79062,1428.795217,105580.266,0,0,0,70049.22469,4099.903967
30,166980.1493,248.1104106,0,0,38640.74593,5715.803636,52516.44058,69.17971607,0,0,17511.01182,2590.258098,104858.1801,36.3635972,0,15.19051715,50247.5554,7432.702266
31,173895.9437,1552.975881,0,10456.31416,35322.55294,2955.553134,54691.50696,696.9888514,0,14765.66773,16007.29041,1339.382163,109201.0773,1999.997846,0,68858.84705,45932.65199,3843.334703
32,167951.5872,383.0152766,0,0,47431.53001,10303.81462,52821.9647,114.0527211,0,136.9166904,21494.77352,4669.429001,105468.212,327.2723748,0,5042.357701,61678.89294,13398.84838
33,174183.8405,2119.424077,0,8768.40002,31333.65994,5846.672407,54782.05254,883.210971,0,9603.597698,14199.62468,2649.564525,109381.8672,1737.053141,0,47395.12042,40745.5854,7602.881067
34,179934.3655,2937.025332,0,5715.393384,24089.16369,6610.673888,56590.63341,1178.544785,0,9874.035281,10916.60163,2995.790734,112993.0126,1158.165933,0,31201.03416,31325.00571,8596.371379
35,181385.8215,3414.719438,0,62822.30983,24363.3282,5907.904585,57047.12661,1460.651856,0,51877.86808,11040.84608,2677.313404,113904.4804,1392.233106,0,177750.4037,31681.52306,7682.506011
36,177890.0131,458.598734,0,157007.5228,26323.67131,16956.51059,55947.67009,152.0702948,0,47544.27973,11929.22415,7684.263083,111709.2248,370.4397505,0,171710.2189,34230.70908,22049.86433
37,183034.5296,1532.919507,0,156186.0495,29495.82155,15552.57283,57565.65698,798.3690479,0,100257.817,13366.76266,7048.033885,114939.8162,2254.543026,0,329852.7078,38355.70178,20224.21529
38,202059.6629,4054.762343,0,195183.4962,20035.54112,12122.6204,63549.19626,2027.603931,0,101269.9301,9079.602085,5514.409569,126886.9899,6109.08433,0,332338.2133,26053.76625,15823.50598
39,213475.1989,4642.003786,0,212471.5665,15400.42231,12795.52401,67139.46327,2128.984128,0,124136.5019,6979.083104,5798.608872,134055.5806,6109.08433,0,363992.1,20026.36218,16639.01112
40,222498.626,4697.931543,0,267377.7842,12382.47289,12422.92821,69977.39506,2128.984128,0,104933.3707,5611.424516,5629.75785,139722.0035,6109.08433,0,303807.6902,16101.88875,16154.49594
