Kolonne1,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status,source
44,FI_11,FI_11 solar,solar,3.032629579,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
45,FI_11,FI_11 fossil_other,fossil_other,207.8964363,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
46,FI_11,FI_11 fossil_gas,fossil_gas,112.4008665,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
47,FI_11,FI_11 biomass,biomass,179.5703855,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
48,FI_12,FI_12 biomass,biomass,242.4311539,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
49,FI_12,FI_12 fossil_gas,fossil_gas,151.7481387,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
50,FI_12,FI_12 fossil_other,fossil_other,280.6730786,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
51,FI_12,FI_12 nuclear,nuclear,1193.031576,238.6063153,9.37,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
52,FI_12,FI_12 solar,solar,4.094237956,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
53,FI_12,FI_12 wind_on,wind_on,716.4045308,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
54,FI_12,FI_12 ror,ror,248.3547322,0,0,0.46,inflow_NO1,429859.6773,15,ror,const,0.6,0,0,0,,,,created,
55,FI_13,FI_13 biomass,biomass,308.0384063,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
56,FI_13,FI_13 fossil_gas,fossil_gas,192.814554,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
57,FI_13,FI_13 fossil_other,fossil_other,356.6294449,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
58,FI_13,FI_13 solar,solar,5.202229643,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
59,FI_13,FI_13 wind_on,wind_on,910.2795018,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
60,FI_13,FI_13 ror,ror,315.5650364,0,0,0.46,inflow_NO1,546189.2493,15,ror,const,0.6,0,0,0,,,,created,
61,FI_14,FI_14 wind_on,wind_on,350.7515625,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
62,FI_14,FI_14 ror,ror,121.5944437,0,0,0.46,inflow_NO1,210459.2405,15,ror,const,0.6,0,0,0,,,,created,
63,FI_14,FI_14 hydro,hydro,3.3,0,0,0.46,inflow_NO1,5711.737089,12.5,hydro,const,0.6,0,0,0,,,,created,
64,FI_14,FI_14 fossil_other,fossil_other,137.4175018,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
65,FI_14,FI_14 fossil_gas,fossil_gas,74.29586843,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
66,FI_14,FI_14 biomass,biomass,118.6942605,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
67,FI_14,FI_14 solar,solar,2.004538356,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
